Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,2254,health,241,2414,Provincial Health Authority,,-1.0,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,1208700,education,,,Education Spending,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,1343000,edcuation,,,Education Spending,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,1501700,education,,,Education Spending,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,479976.7,education,235, ,Department for Education,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,1106551.8,education,235,,Department for Education,,1.3,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,1082254.4,education,235,,Department for Education,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,497,education,235,2351,Government Records and Archives,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,38607,education,235,2352,Basic Education,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,41357,education,235,2353,Development & Implementation of Education Standards,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,43311.4,education,235,2354,General Secondary Education,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,299120.6,education,235,2355,Top Management and General Administration,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,14121.6,education,235,2356,Vocational Education,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,2093,education,235,2357,Managment of Teachers's Affairs,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,19592.1,education,235,2358,Tertiary Teacher Education,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,15792.7,education,235,2359,Tertiary Technical Education,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,5484.8,education,235,2360,Library Services,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,629,education,235,2351,Government Records and Archives,,0.3,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,49939,education,235,2352,Basic Education,,0.3,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,70540,education,235,2353,Development & Implementation of Education Standards,,0.7,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,47406,education,235,2354,General Secondary Education,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,679030.9,education,235,2355,Top Management and General Administration,,1.3,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,178392.3,education,235,2356,Vocational Education,,11.6,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,1671.5,education,235,2357,Managment of Teachers's Affairs,,-0.2,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,31229,education,235,2358,Tertiary Teacher Education,,0.6,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,44734.9,education,235,2359,Tertiary Technical Education,,1.8,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,2978.6,education,235,2360,Library Services,,-0.5,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,1000,education,235,2351,Government Records and Archives,,0.6,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,47398,education,235,2352,Basic Education,,-0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,77054,education,235,2353,Development & Implementation of Education Standards,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,51901,education,235,2354,General Secondary Education,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,637741.3,education,235,2355,Top Management and General Administration,,-0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,185255,education,235,2356,Vocational Education,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,3437,education,235,2357,Managment of Teachers's Affairs,,1.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,34332,education,235,2358,Tertiary Teacher Education,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,40036,education,235,2359,Tertiary Technical Education,,-0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,4100,education,235,2360,Library Services,,0.4,,,,,,,,,,,,,,,,
