Country,Year,Type,Value,Sector,Department,Programme,Sub-Programme,Name,Notes,Changes
Vanuatu,2012,aggr,47800365,Constitutional Agencies,Public Prosecutor,Representation,,Representation,,
Vanuatu,2012,aggr,186423069,Constitutional Agencies,Judiciary,,,Judiciary,,
Vanuatu,2012,aggr,2233029,Constitutional Agencies,Judiciary,Corporate Services,Human Resource,Human Resource,,
Vanuatu,2012,aggr,4436437,Constitutional Agencies,Judiciary,Corporate Services,Account / Finance,Account / Finance,,
Vanuatu,2012,aggr,7905410,Constitutional Agencies,Judiciary,Corporate Services,Assets,Assets,,
Vanuatu,2012,aggr,863164,Constitutional Agencies,Judiciary,Corporate Services,Information Technology,Information Technology,,
Vanuatu,2012,aggr,2279794,Constitutional Agencies,Judiciary,Corporate Services,Library / Archive,Library / Archive,,
Vanuatu,2012,aggr,644997,Constitutional Agencies,Judiciary,Corporate Services,Security,Security,,
Vanuatu,2012,aggr,0,Constitutional Agencies,Judiciary,Corporate Services,Supreme Court Hall of Justice,Supreme Court Hall of Justice,,
Vanuatu,2012,aggr,18362831,Constitutional Agencies,Judiciary,Corporate Services,,Corporate Services,,
Vanuatu,2012,aggr,17238159,Constitutional Agencies,Judiciary,Court of Appeal,Court of Appeal Registry,Court of Appeal Registry,,
Vanuatu,2012,aggr,17238159,Constitutional Agencies,Judiciary,Court of Appeal,,Court of Appeal,,
Vanuatu,2012,aggr,8775025,Constitutional Agencies,Judiciary,Supreme Court,Chief Justice Office,Chief Justice Office,,
Vanuatu,2012,aggr,39206480,Constitutional Agencies,Judiciary,Supreme Court,Principal Registry,Principal Registry,,
Vanuatu,2012,aggr,23161681,Constitutional Agencies,Judiciary,Supreme Court,Port Vila Registry,Port Vila Registry,,
Vanuatu,2012,aggr,7157841,Constitutional Agencies,Judiciary,Supreme Court,Luganville Registry,Luganville Registry,,
Vanuatu,2012,aggr,837500,Constitutional Agencies,Judiciary,Supreme Court,Isangel Registry,Isangel Registry,,
Vanuatu,2012,aggr,762503,Constitutional Agencies,Judiciary,Supreme Court,Sola Registry,Sola Registry,,
Vanuatu,2012,aggr,674997,Constitutional Agencies,Judiciary,Supreme Court,Ambore Registry,Ambore Registry,,
Vanuatu,2012,aggr,674997,Constitutional Agencies,Judiciary,Supreme Court,Lakatoro Registry,Lakatoro Registry,,
Vanuatu,2012,aggr,2500000,Constitutional Agencies,Judiciary,Supreme Court,Regional Conferences,Regional Conferences,,
Vanuatu,2012,aggr,83751024,Constitutional Agencies,Judiciary,Supreme Court,,Supreme Court,,
Vanuatu,2012,aggr,4822757,Constitutional Agencies,Judiciary,Magistrate Courts,Chief Magistrate Office,Chief Magistrate Office,,
Vanuatu,2012,aggr,13007391,Constitutional Agencies,Judiciary,Magistrate Courts,Port Vila MCt Office Registry,Port Vila MCt Office Registry,,
Vanuatu,2012,aggr,1133602,Constitutional Agencies,Judiciary,Magistrate Courts,Lakatoro MC Registry,Lakatoro MC Registry,,
Vanuatu,2012,aggr,4024830,Constitutional Agencies,Judiciary,Magistrate Courts,Isangel MC Registry,Isangel MC Registry,,
Vanuatu,2012,aggr,4307603,Constitutional Agencies,Judiciary,Magistrate Courts,Luganville MC Registry,Luganville MC Registry,,
Vanuatu,2012,aggr,600000,Constitutional Agencies,Judiciary,Magistrate Courts,Sola MC Registry,Sola MC Registry,,
Vanuatu,2012,aggr,624997,Constitutional Agencies,Judiciary,Magistrate Courts,Amobore MC Registry,Amobore MC Registry,,
Vanuatu,2012,aggr,28521180,Constitutional Agencies,Judiciary,Magistrate Courts,,Magistrate Courts,,
Vanuatu,2012,aggr,2460542,Constitutional Agencies,Judiciary,Island Courts,Senior Administrator Office,Senior Administrator Office,,
Vanuatu,2012,aggr,2326890,Constitutional Agencies,Judiciary,Island Courts,Efate Island Court,Efate Island Court,,
Vanuatu,2012,aggr,2039371,Constitutional Agencies,Judiciary,Island Courts,Santo Malo Island Court,Santo Malo Island Court,,
Vanuatu,2012,aggr,1883057,Constitutional Agencies,Judiciary,Island Courts,Tanna Island Court,Tanna Island Court,,
Vanuatu,2012,aggr,2153791,Constitutional Agencies,Judiciary,Island Courts,Ambae Island Court,Ambae Island Court,,
Vanuatu,2012,aggr,2026053,Constitutional Agencies,Judiciary,Island Courts,Pentecost Island Court,Pentecost Island Court,,
Vanuatu,2012,aggr,1550658,Constitutional Agencies,Judiciary,Island Courts,Malekula Island Court,Malekula Island Court,,
Vanuatu,2012,aggr,1511809,Constitutional Agencies,Judiciary,Island Courts,Tongoa Island Court,Tongoa Island Court,,
Vanuatu,2012,aggr,1669955,Constitutional Agencies,Judiciary,Island Courts,Ambrym Island Court,Ambrym Island Court,,
Vanuatu,2012,aggr,1565405,Constitutional Agencies,Judiciary,Island Courts,Epi Island Court,Epi Island Court,,
Vanuatu,2012,aggr,1863684,Constitutional Agencies,Judiciary,Island Courts,Banks Torres Island Court,Banks Torres Island Court,,
Vanuatu,2012,aggr,21051215,Constitutional Agencies,Judiciary,Island Courts,,Island Courts,,
Vanuatu,2012,aggr,900000,Constitutional Agencies,Judiciary,Land Courts,Efate Island Court,Efate Island Court,,
Vanuatu,2012,aggr,760000,Constitutional Agencies,Judiciary,Land Courts,Santo Malo Island Court,Santo Malo Island Court,,
Vanuatu,2012,aggr,700000,Constitutional Agencies,Judiciary,Land Courts,Tanna Island Court,Tanna Island Court,,
Vanuatu,2012,aggr,577500,Constitutional Agencies,Judiciary,Land Courts,Ambae Island Court,Ambae Island Court,,
Vanuatu,2012,aggr,650000,Constitutional Agencies,Judiciary,Land Courts,Pentecost Island Court,Pentecost Island Court,,
Vanuatu,2012,aggr,500000,Constitutional Agencies,Judiciary,Land Courts,Malekula Island Court,Malekula Island Court,,
Vanuatu,2012,aggr,500000,Constitutional Agencies,Judiciary,Land Courts,Tongoa Island Court,Tongoa Island Court,,
Vanuatu,2012,aggr,550000,Constitutional Agencies,Judiciary,Land Courts,Erromango Island Court,Erromango Island Court,,
Vanuatu,2012,aggr,550000,Constitutional Agencies,Judiciary,Land Courts,Banks Torres Island Court,Banks Torres Island Court,,
Vanuatu,2012,aggr,900000,Constitutional Agencies,Judiciary,Land Courts,Land Appeals,Land Appeals,,
Vanuatu,2012,aggr,6587500,Constitutional Agencies,Judiciary,Land Courts,,Land Courts,,
Vanuatu,2012,aggr,6289038,Constitutional Agencies,Judiciary,Enforcement,Sheriff Office,Sheriff Office,,
Vanuatu,2012,aggr,6289038,Constitutional Agencies,Judiciary,Enforcement,,Enforcement,,
Vanuatu,2012,aggr,3122122,Constitutional Agencies,Judiciary,Judicial Development & Training,Judicial Development & Training,Judicial Development & Training,,
Vanuatu,2012,aggr,1500000,Constitutional Agencies,Judiciary,Judicial Development & Training,Staff Training & Development,Staff Training & Development,,
Vanuatu,2012,aggr,4622122,Constitutional Agencies,Judiciary,Judicial Development & Training,,Judicial Development & Training,,
Vanuatu,2012,aggr,0,Constitutional Agencies,Judiciary,Case Management,Case Management Support,Case Management Support,,
Vanuatu,2012,aggr,0,Constitutional Agencies,Judiciary,Case Management,,Case Management,,
Vanuatu,2012,aggr,97656440,Constitutional Agencies,Public Service Commission,,,Public Service Commission,,
Vanuatu,2012,aggr,46524639,Constitutional Agencies,Public Service Commission,Corporate Services Unit,,Corporate Services Unit,,
Vanuatu,2012,aggr,11868462,Constitutional Agencies,Public Service Commission,Human Resource Management,,Human Resource Management,,
Vanuatu,2012,aggr,7794314,Constitutional Agencies,Public Service Commission,Performance Improvement Unit,,Performance Improvement Unit,,
Vanuatu,2012,aggr,12771695,Constitutional Agencies,Public Service Commission,Human Resource Development,,Human Resource Development,,
Vanuatu,2012,aggr,18697330,Constitutional Agencies,Public Service Commission,Public Service Legal Unit,,Public Service Legal Unit,,
Vanuatu,2012,aggr,3788275,Constitutional Agencies,Citizenship Commission,,,Citizenship Commission,,
Vanuatu,2012,aggr,3788275,Constitutional Agencies,Citizenship Commission,Citizenship Commission,Citizenship Commission,Citizenship Commission,,
Vanuatu,2012,aggr,3788275,Constitutional Agencies,Citizenship Commission,Citizenship Commission,,Citizenship Commission,,
Vanuatu,2012,aggr,815078,Constitutional Agencies,Judicial Service Commission,,,Judicial Service Commission,,
Vanuatu,2012,aggr,315337,Constitutional Agencies,Judicial Service Commission,Decision Making,,Decision Making,,
Vanuatu,2012,aggr,499741,Constitutional Agencies,Judicial Service Commission,Administrative Support Services,,Administrative Support Services,,
Vanuatu,2012,aggr,1031120959,Prime Ministers Ministry,,,,Prime Ministers Ministry,,
Vanuatu,2012,aggr,70884580,Prime Ministers Ministry,Strategic Management,,,Strategic Management,,
Vanuatu,2012,aggr,32587831,Prime Ministers Ministry,Strategic Management,Policy Sectors,,Policy Sectors,,
Vanuatu,2012,aggr,9057138,Prime Ministers Ministry,Strategic Management,Aid Coordination Unit,,Aid Coordination Unit,,
Vanuatu,2012,aggr,11125211,Prime Ministers Ministry,Strategic Management,Monitoring & Evaluation Unit,,Monitoring & Evaluation Unit,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Strategic Management,Vanuatu Project Management Unit (VPMU),,Vanuatu Project Management Unit (VPMU),,
Vanuatu,2012,aggr,810808966,Prime Ministers Ministry,Internal Security and Border Control,,,Internal Security and Border Control,,
Vanuatu,2012,aggr,21844022,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Commisioner's Office,Commisioner's Office,,
Vanuatu,2012,aggr,124894326,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Corporate Services Unit,Corporate Services Unit,,
Vanuatu,2012,aggr,20049965,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Joint Planning Operation Center,Joint Planning Operation Center,,
Vanuatu,2012,aggr,6716314,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Special Branch,Special Branch,,
Vanuatu,2012,aggr,-605561,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Joint Command Operation,Joint Command Operation,,
Vanuatu,2012,aggr,3402562,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Transnational Crime Unit,Transnational Crime Unit,,
Vanuatu,2012,aggr,2745939,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Oversea Missions,Oversea Missions,,
Vanuatu,2012,aggr,1252692,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Police Recruit,Police Recruit,,
Vanuatu,2012,aggr,16374909,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Police College,Police College,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Luganville General Duty Policing,Luganville General Duty Policing,,
Vanuatu,2012,aggr,196664958,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,,Joint Command and Control,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,Northern Command HQ,Northern Command HQ,,
Vanuatu,2012,aggr,9708865,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Luganville CID & SB,Luganville CID & SB,,
Vanuatu,2012,aggr,3707947,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Torba Police,Torba Police,,
Vanuatu,2012,aggr,70235136,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,,Police District Northern,,
Vanuatu,2012,aggr,2312455,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Central Command HQ,Central Command HQ,,
Vanuatu,2012,aggr,25070104,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Malampa Police,Malampa Police,,
Vanuatu,2012,aggr,13193263,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Penama Police,Penama Police,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,Port Vila VIP Security,Port Vila VIP Security,,
Vanuatu,2012,aggr,40268665,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,,Police District Central,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Southern Command HQ,Southern Command HQ,,
Vanuatu,2012,aggr,102333520,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila General Duty Policing,Port Vila General Duty Policing,,
Vanuatu,2012,aggr,46164247,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila CID,Port Vila CID,,
Vanuatu,2012,aggr,10524359,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila Prosecution,Port Vila Prosecution,,
Vanuatu,2012,aggr,13071374,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Port Vila Traffic,Port Vila Traffic,,
Vanuatu,2012,aggr,15503765,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Tafea Police Station,Tafea Police Station,,
Vanuatu,2012,aggr,11928512,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,Shepherd's Police,Shepherd's Police,,
Vanuatu,2012,aggr,225462853,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,,Police District Southern,,
Vanuatu,2012,aggr,27430164,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Mobile Force HQ,Mobile Force HQ,,
Vanuatu,2012,aggr,45132915,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Surveillance and Response Force,Surveillance and Response Force,,
Vanuatu,2012,aggr,18248177,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Fire Services,Fire Services,,
Vanuatu,2012,aggr,22166629,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Supplier and Armory,Supplier and Armory,,
Vanuatu,2012,aggr,22094733,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Band,Band,,
Vanuatu,2012,aggr,15768925,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Workshop,Workshop,,
Vanuatu,2012,aggr,28798807,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Engineering,Engineering,,
Vanuatu,2012,aggr,54469435,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,Luganville Detechment,Luganville Detechment,,
Vanuatu,2012,aggr,233684710,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,,Vanuatu Mobile Force,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,RVS Mala Base,RVS Mala Base,,
Vanuatu,2012,aggr,23209836,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,RVS Tukoro,RVS Tukoro,,
Vanuatu,2012,aggr,4002558,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,Luganville Detechment,Luganville Detechment,,
Vanuatu,2012,aggr,44492644,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,,Police Maritime Wing,,
Vanuatu,2012,aggr,92013371,Prime Ministers Ministry,Office of the Prime Minister,,,Office of the Prime Minister,,
Vanuatu,2012,aggr,64101638,Prime Ministers Ministry,Office of the Prime Minister,Cabinet,,Cabinet,,
Vanuatu,2012,aggr,1000000,Prime Ministers Ministry,Office of the Prime Minister,Independence Celebrations,,Independence Celebrations,,
Vanuatu,2012,aggr,11936770,Prime Ministers Ministry,Office of the Prime Minister,International Travel,,International Travel,,
Vanuatu,2012,aggr,1969454,Prime Ministers Ministry,Office of the Prime Minister,Entertainment Fund,,Entertainment Fund,,
Vanuatu,2012,aggr,1966300,Prime Ministers Ministry,Office of the Prime Minister,Local Travel,,Local Travel,,
Vanuatu,2012,aggr,28261743,Prime Ministers Ministry,Director General's Office,,,Director General's Office,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Director General's Office,PMO Corporate Services,,PMO Corporate Services,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Director General's Office,Utilities,,Utilities,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Director General's Office,Community Development Fund,,Community Development Fund,,
Vanuatu,2012,aggr,25639417,Prime Ministers Ministry,Language Services,,,Language Services,,
Vanuatu,2012,aggr,15252914,Prime Ministers Ministry,Language Services,Language Services,,Language Services,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Language Services,Training & Language Awareness,,Training & Language Awareness,,
Vanuatu,2012,aggr,10386503,Prime Ministers Ministry,Language Services,Administration,,Administration,,
Vanuatu,2012,aggr,3512882,Prime Ministers Ministry,Special Commissions,,,Special Commissions,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Information Communication and Technology Policy and Administration,,,Information Communication and Technology Policy and Administration,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Information Communication and Technology Policy and Administration,Administration & Operations,,Administration & Operations,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Information Communication and Technology Policy and Administration,Government Broadband Network,,Government Broadband Network,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,,,Internal Security & Border Control,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Joint Command and Control,,Joint Command and Control,,
Vanuatu,2012,aggr,6053133,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,Sanma Police,Sanma Police,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police District Northern,,Police District Northern,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police District Central,,Police District Central,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police District Southern,,Police District Southern,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Vanuatu Mobile Force,,Vanuatu Mobile Force,,
Vanuatu,2012,aggr,10479898,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,Maritime Surveillance,Maritime Surveillance,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Internal Security and Border Control,Police Maritime Wing,,Police Maritime Wing,,
Vanuatu,2012,aggr,0,Prime Ministers Ministry,Parliamentary Secretariat,,,Parliamentary Secretariat,,
Vanuatu,2012,aggr,3945597404,Ministry of Education,,,,Ministry of Education,,
Vanuatu,2012,aggr,45457009,Ministry of Education,Cabinet Support,,,Cabinet Support,,
Vanuatu,2012,aggr,165201206,Ministry of Education,Executive Management and Corporate Services,,,Executive Management and Corporate Services,,
Vanuatu,2012,aggr,12039110,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Office of the Director General,Office of the Director General,,
Vanuatu,2012,aggr,9385930,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Internal Audit Unit,Internal Audit Unit,,
Vanuatu,2012,aggr,4896593,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Human Resource Management Unit,Human Resource Management Unit,,
Vanuatu,2012,aggr,26321633,Ministry of Education,Executive Management and Corporate Services,Director General's Division,,Director General's Division,,
Vanuatu,2012,aggr,0,Ministry of Education,Executive Management and Corporate Services,Director General's Division,Office of the Director of Administration & Finance,Office of the Director of Administration & Finance,,
Vanuatu,2012,aggr,14889615,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Finance Unit,Finance Unit,,
Vanuatu,2012,aggr,12111705,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Training and Scholarship Coordination Unit,Training and Scholarship Coordination Unit,,
Vanuatu,2012,aggr,34724127,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Administration Unit,Administration Unit,,
Vanuatu,2012,aggr,0,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Procurement & Assets Unit,Procurement & Assets Unit,,
Vanuatu,2012,aggr,0,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,Policy and Planning Unit,Policy and Planning Unit,,
Vanuatu,2012,aggr,94394478,Ministry of Education,Executive Management and Corporate Services,Administration & Finance Division,,Administration & Finance Division,,
Vanuatu,2012,aggr,4714430,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Office of the Director of Policy and Planning,Office of the Director of Policy and Planning,,
